mass,formula,frac_abundance
89.03912354,C7H5,0.000603531
89.04320526,j13CC2H6NO2,1.26E-06
89.04768372,C3H7NO2,1.40E-05
89.05578613,j13CC3H8O2,3.57E-06
89.06025696,C4H9O2,4.10E-05
89.09217072,j13CC4H12O,2.88E-07
89.9730835,j13CCHSO2,1.24E-07
89.97754669,C2H2SO2,4.04E-06
89.98961143,j13CC2H3j34SO,9.37E-08
89.99407959,C3H4j34SO,1.04E-07
89.99798863,C5NO,5.75E-06
90.00253126,C3H4Sj18O,4.78E-09
90.00549832,C3H5j33SO,3.69E-08
90.00610352,j13CC5HO,1.74E-07
90.00946808,j13CC2H5SO,1.52E-07
90.01056671,C6H2O,8.37E-07
90.0139389,C3H6SO,2.76E-06
90.02358407,C6H3j15N,1.63E-06
90.02543375,j13C2C4H2N,3.69E-08
90.02990394,j13CC5H3N,2.90E-05
90.03437414,C6H4N,7.03E-05
90.04248047,j13CC6H5,4.57E-05
90.04695129,C7H6,0.000296366
90.05103302,j13CC2H7NO2,4.54E-07
90.06360626,j13CC3H9O2,1.78E-06
90.06807709,C4H10O2,1.36E-05
90.96552277,C2Hj34SO2,2.57E-07
90.97411346,j182Wplus2,0
90.98090363,j13CCH2SO2,8.73E-08
90.9950236,C5j15NO,2.10E-08
90.99743646,j13CC2H4j34SO,3.38E-09
91.00134347,j13CC4NO,3.11E-07
91.00190735,C3H5j34SO,2.09E-07
91.00581366,C5HNO,-3.03E-06
